"Criteria ID","Name","Canonical Name","Parent ID","Country Code","Target Type","Status"
9040200,"Eluru","Eluru,Andhra Pradesh,India",20453,"IN","City","Active"
9040201,"Rajahmundry","Rajahmundry,Andhra Pradesh,India",20453,"IN","City","Active"
9040202,"Kakinada","Kakinada,Andhra Pradesh,India",20453,"IN","City","Active"
9040203,"Brahmapur","Brahmapur,Odisha,India",20465,"IN","City","Active"
9040204,"Guntur","Guntur,Andhra Pradesh,India",20453,"IN","City","Active"
9040205,"Tirupati","Tirupati,Andhra Pradesh,India",20453,"IN","City","Active"
9040206,"Sembakkam","Sembakkam,Tamil Nadu,India",20469,"IN","City","Active"
9040207,"Irumbuliyur","Irumbuliyur,Tamil Nadu,India",20469,"IN","City","Active"
9040208,"Virudhunagar","Virudhunagar,Tamil Nadu,India",20469,"IN","City","Active"
9040209,"Tirunelveli","Tirunelveli,Tamil Nadu,India",20469,"IN","City","Active"
9040210,"Kollam","Kollam,Kerala,India",20461,"IN","City","Active"
9040211,"Mavelikkara","Mavelikkara,Kerala,India",20461,"IN","City","Active"
9040212,"Ernakulam","Ernakulam,Kerala,India",20461,"IN","City","Active"
9040213,"Alappuzha","Alappuzha,Kerala,India",20461,"IN","City","Active"
9040214,"Kannur","Kannur,Kerala,India",20461,"IN","City","Active"
9040215,"Thrissur","Thrissur,Kerala,India",20461,"IN","City","Active"
9040216,"Palakkad","Palakkad,Kerala,India",20461,"IN","City","Active"
9040217,"Tiruchirappalli","Tiruchirappalli,Tamil Nadu,India",20469,"IN","City","Active"
9040218,"Salem","Salem,Tamil Nadu,India",20469,"IN","City","Active"
9040219,"Chittoor","Chittoor,Andhra Pradesh,India",20453,"IN","City","Active"
9040220,"Hosur","Hosur,Tamil Nadu,India",20469,"IN","City","Active"
9040221,"Anantapur","Anantapur,Andhra Pradesh,India",20453,"IN","City","Active"
9040222,"Kurnool","Kurnool,Andhra Pradesh,India",20453,"IN","City","Active"
9040223,"Bellary","Bellary,Karnataka,India",20460,"IN","City","Active"
9040224,"Hubballi","Hubballi,Karnataka,India",20460,"IN","City","Active"
9040225,"Manipal","Manipal,Karnataka,India",20460,"IN","City","Active"
9040226,"Margao","Margao,Goa,India",21268,"IN","City","Active"
9040227,"Panaji","Panaji,Goa,India",21268,"IN","City","Active"
9040228,"Mormugao","Mormugao,Goa,India",21268,"IN","City","Active"
9040229,"Pimpri Chinchwad","Pimpri Chinchwad,Maharashtra,India",20462,"IN","City","Active"
9040230,"Bijapur","Bijapur,Karnataka,India",20460,"IN","City","Active"
9040231,"Secunderabad","Secunderabad,Andhra Pradesh,India",20453,"IN","City","Active"
9040232,"Karimnagar","Karimnagar,Andhra Pradesh,India",20453,"IN","City","Active"
9040233,"Latur","Latur,Maharashtra,India",20462,"IN","City","Active"
9040234,"Jalgaon","Jalgaon,Maharashtra,India",20462,"IN","City","Active"
9040235,"Nashik","Nashik,Maharashtra,India",20462,"IN","City","Active"
9040236,"Dhule","Dhule,Maharashtra,India",20462,"IN","City","Active"
9040237,"Vapi","Vapi,Gujarat,India",20457,"IN","City","Active"
9040238,"Ambernath","Ambernath,Maharashtra,India",20462,"IN","City","Active"
9040239,"Ulhasnagar","Ulhasnagar,Maharashtra,India",20462,"IN","City","Active"
9040240,"Dombivli","Dombivli,Maharashtra,India",20462,"IN","City","Active"
9040241,"Kalyan","Kalyan,Maharashtra,India",20462,"IN","City","Active"
9040242,"Virar","Virar,Maharashtra,India",20462,"IN","City","Active"
9040243,"Vasai","Vasai,Maharashtra,India",20462,"IN","City","Active"
9040244,"Mira Bhayandar","Mira Bhayandar,Maharashtra,India",20462,"IN","City","Active"
9040245,"Thane","Thane,Maharashtra,India",20462,"IN","City","Active"
9040246,"Navi Mumbai","Navi Mumbai,Maharashtra,India",20462,"IN","City","Active"
